Player Name,Country,Gender,Matches Played,Innings,Runs,Balls Faced,Highest Score,Average,Strike Rate,Not Out,Fours,Sixes,Ducks,Fifties,Hundreads,Two Hundreads
Fred Bakewell,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Errol Holmes,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freddie Brown,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopper Levett,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Farnes,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alf Gover,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Bowes,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Barnett,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harold Gimblett,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Farrimond,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Gibb,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Townsend,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Sims,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Iddon,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Paine,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur Mitchell,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Len Wilkinson,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norman Yardley,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reg Perks,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Smailes,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Pope,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Smith,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir Alec Bedser,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buddy Oldfield,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Ikin,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Cook,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Godfrey Evans,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliff Gladwin,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Copson,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerald Smithson,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan Watkins,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Bailey,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Crapp,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Dewes,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Mann,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dick Howorth,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Brookes,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Warr,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alec Coxon,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harold Butler,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Emmett,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Wharton,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug Insole,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winston Place,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Berry,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Tremlett,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dick Pollard,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Hilton,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Dollery,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roly Jenkins,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilbert Parkhouse,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reg Simpson,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roy Tattersall,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Griffith,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Lowson,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter May,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Jackson,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Sheppard,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Brennan,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Graveney,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Wardle,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Martin,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Close,England,Male,3,3,49,50,43,16.33,98,0,7,1,0,0,0,0
Cyril Poole,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur McIntyre,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Cranston,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim McConnon,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donald Carr,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Statham,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Young,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir Colin Cowdrey,England,Male,1,1,1,5,1,1,20,0,0,0,0,0,0,0
Ken Barrington,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred Trueman,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hubert Doggart,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Leadbeater,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Kenyon,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Laker,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dick Spooner,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred Titmus,England,Male,2,1,11,32,11,11,34.38,0,1,0,0,0,0,0
Fred Ridgway,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Lock,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigel Howard,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Appleyard,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Tyson,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Loader,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Shackleton,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Mortimore,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Allen,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusty Rhodes,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Oakman,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dick Richardson,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Moss,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Richardson,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Barber,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Palmer,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Illingworth,England,Male,3,2,5,18,4,2.5,27.78,0,0,0,0,0,0,0
Arthur Milton,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Andrew,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roy Swetman,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ted Dexter,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Taylor,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Horton,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raman Subba Row,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Russell,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Smith,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doug Padgett,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoff Pullar,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Greenhough,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Parfitt,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Binks,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Sharpe,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Len Coldwell,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micky Stewart,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butch White,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Larter,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Murray,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoff Millman,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norman Gifford,England,Male,2,1,0,8,0,0,0,0,0,0,1,0,0,0
Alan Smith,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Snow,England,Male,9,4,9,41,5,4.5,21.96,2,0,0,0,0,0,0
David Brown,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Wilson,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Knight,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Edrich,England,Male,7,6,223,325,90,37.17,68.62,0,13,1,0,2,0,0
John Price,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Cartwright,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Fletcher,England,Male,24,22,757,1134,131,39.84,66.76,3,64,6,0,5,1,0
Jeff Jones,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Taylor,England,Male,27,17,130,312,26,13,41.67,7,7,0,2,0,0,0
Sir Geoff Boycott,England,Male,36,34,1082,2020,105,36.07,53.57,4,84,0,1,9,1,0
Basil D Oliveira,England,Male,4,4,30,43,17,10,69.77,1,3,0,0,0,0,0
Brian Bolus,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Thomson,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Lever,England,Male,10,3,17,24,8,17,70.84,2,0,0,0,0,0,0
Bob Cottam,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Luckhurst,England,Male,3,3,15,69,14,5,21.74,0,1,0,1,0,0,0
Tony Lewis,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Ward,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Hendrick,England,Male,22,10,6,22,2,1.2,27.28,5,0,0,3,0,0,0
Mike Denness,England,Male,12,11,264,417,66,29.33,63.31,2,17,2,1,1,0,0
Barry Wood,England,Male,13,12,314,647,78,31.4,48.54,2,23,0,1,2,0,0
Chris Balderstone,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Steele,England,Male,1,1,8,12,8,8,66.67,0,1,0,0,0,0,0
Clive Radley,England,Male,4,4,250,367,117,83.33,68.12,1,25,0,0,1,1,0
Mike Selvey,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Tolchard,England,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0
John Jameson,England,Male,3,3,60,158,28,20,37.98,0,3,0,0,0,0,0
Ken Shuttleworth,England,Male,1,1,7,19,7,7,36.85,0,0,0,0,0,0,0
Jack Flavell,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Butcher,England,Male,1,1,14,26,14,14,53.85,0,1,0,0,0,0,0
Mike Brearley,England,Male,25,24,510,1120,78,24.29,45.54,3,47,0,6,3,0,0
Phil Edmonds,England,Male,29,18,116,232,20,10.55,50,7,7,0,3,0,0,0
Robin Hobbs,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Hampshire,England,Male,3,3,48,86,25,24,55.82,1,7,0,0,0,0,0
Derek Underwood,England,Male,26,13,53,133,17,5.89,39.85,4,5,0,2,0,0,0
Chris Tavare,England,Male,29,28,720,1471,83,27.69,48.95,2,58,2,1,4,0,0
Roger Prideaux,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoff Miller,England,Male,25,18,136,265,46,8.5,51.33,2,12,0,3,0,0,0
Derek Randall,England,Male,49,45,1067,1702,88,26.68,62.7,5,82,7,4,5,0,0
Mike Gatting,England,Male,92,88,2095,2968,115,29.1,70.59,16,165,11,4,9,1,0
Graham Roope,England,Male,8,8,173,342,44,21.63,50.59,0,7,2,1,0,0,0
Jack Birkenshaw,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Greig,England,Male,22,19,269,378,48,16.81,71.17,3,19,3,1,0,0,0
Bob Woolmer,England,Male,6,4,21,46,9,5.25,45.66,0,1,0,1,0,0,0
Graham Stevenson,England,Male,4,4,43,56,28,43,76.79,3,4,0,0,0,0,0
Chris Old,England,Male,32,25,338,401,51,18.78,84.29,7,29,6,4,1,0,0
Brian Rose,England,Male,2,2,99,210,54,49.5,47.15,0,7,0,0,1,0,0
Bob Willis,England,Male,64,22,83,157,24,10.38,52.87,14,6,0,4,0,0,0
Alan Knott,England,Male,20,14,200,247,50,20,80.98,4,17,1,2,1,0,0
Graham Barlow,England,Male,6,6,149,255,80,29.8,58.44,1,18,0,2,1,0,0
Geoff Cope,England,Male,2,1,1,1,1,0,100,1,0,0,0,0,0,0
Ken Higgs,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roland Butcher,England,Male,3,3,58,68,52,19.33,85.3,0,5,0,0,1,0,0
Bill Athey,England,Male,31,30,848,1495,142,31.41,56.73,3,54,4,1,4,2,0
Graham Dilley,England,Male,36,18,114,133,31,11.4,85.72,8,11,0,2,0,0,0
Paul Downton,England,Male,28,20,242,358,44,16.13,67.6,5,13,0,2,0,0,0
John Emburey,England,Male,61,45,501,664,34,14.31,75.46,10,32,6,3,0,0,0
Frank Hayes,England,Male,6,6,128,235,52,25.6,54.47,1,18,2,0,1,0,0
John Lever,England,Male,22,11,56,152,27,8,36.85,4,2,0,1,0,0,0
Sir Ian Botham,England,Male,116,106,2113,2671,79,23.22,79.11,15,197,44,6,9,0,0
Pat Pocock,England,Male,1,1,4,9,4,4,44.45,0,0,0,0,0,0,0
Wayne Larkins,England,Male,25,24,591,1047,124,24.63,56.45,0,67,3,3,0,1,0
Geoff Cook,England,Male,6,6,106,261,32,17.67,40.62,0,6,0,0,0,0,0
Graham Gooch,England,Male,125,122,4290,6932,142,36.98,61.89,6,407,15,4,23,8,0
David Gower,England,Male,114,111,3170,4218,158,30.78,75.16,8,290,22,6,12,7,0
Neil Foster,England,Male,48,25,150,244,24,11.54,61.48,12,9,0,3,0,0,0
Robin Jackman,England,Male,15,9,54,93,14,6.75,58.07,1,3,0,1,0,0,0
Paul Terry,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Hemmings,England,Male,33,12,30,61,8,5,49.19,6,1,0,1,0,0,0
David Bairstow,England,Male,21,20,206,390,23,14.71,52.83,6,12,1,1,0,0,0
Tony Pigott,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Cowdrey,England,Male,3,3,51,46,46,25.5,110.87,1,5,1,1,0,0,0
Peter Willey,England,Male,26,24,538,855,64,23.39,62.93,1,49,0,3,5,0,0
Nick Cook,England,Male,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Martyn Moxon,England,Male,8,8,174,325,70,21.75,53.54,0,12,0,1,1,0,0
Les Taylor,England,Male,2,1,1,6,1,0,16.67,1,0,0,0,0,0,0
Chris Broad,England,Male,34,34,1361,2447,106,40.03,55.62,0,81,3,2,11,1,0
Wilf Slack,England,Male,2,2,43,85,34,21.5,50.59,0,5,1,0,0,0,0
Ian Greig,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan Lamb,England,Male,122,118,4010,5308,118,39.31,75.55,16,328,30,8,26,4,0
Bruce French,England,Male,13,8,34,71,9,6.8,47.89,3,1,0,2,0,0,0
Andy Lloyd,England,Male,3,3,101,228,49,33.67,44.3,0,3,0,0,0,0,0
Mark Benson,England,Male,1,1,24,58,24,24,41.38,0,3,0,0,0,0,0
David Lawrence,England,Male,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Agnew,England,Male,3,1,2,3,2,0,66.67,1,0,0,0,0,0,0
Greg Thomas,England,Male,3,3,1,7,1,1,14.29,2,0,0,1,0,0,0
Paul Allott,England,Male,13,6,15,25,8,3,60,1,1,0,2,0,0,0
Tim Curtis,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Maynard,England,Male,14,12,156,225,41,14.18,69.34,1,10,1,1,0,0,0
Norman Cowans,England,Male,23,8,13,29,4,2.6,44.83,3,0,0,3,0,0,0
Derek Pringle,England,Male,44,30,425,616,49,23.61,69,12,26,3,1,0,0,0
John Stephenson,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Richards,England,Male,22,16,154,264,50,11.85,58.34,3,7,0,3,1,0,0
Kim Barnett,England,Male,1,1,84,146,84,84,57.54,0,0,0,0,1,0,0
Neal Radford,England,Male,6,3,0,7,0,0,0,2,0,0,1,0,0,0
Paul Parker,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vic Marks,England,Male,34,24,285,434,44,13.57,65.67,3,16,0,0,0,0,0
John Childs,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Smith,England,Male,71,70,2419,3473,167,39.02,69.66,8,239,22,4,15,4,0
John Morris,England,Male,8,8,167,225,63,23.86,74.23,1,18,0,0,1,0,0
Gladstone Small,England,Male,53,24,98,188,18,6.53,52.13,9,7,0,6,0,0,0
Alan Igglesden,England,Male,4,3,20,31,18,10,64.52,1,2,0,1,0,0,0
Graeme Fowler,England,Male,26,26,744,1321,81,31,56.33,2,67,1,2,4,0,0
Chris Smith,England,Male,4,4,109,240,70,27.25,45.42,0,19,1,0,1,0,0
James Whitaker,England,Male,2,2,48,65,44,48,73.85,1,2,1,0,0,0,0
David Capel,England,Male,23,19,327,479,50,19.24,68.27,2,23,4,0,1,0,0
Rob Bailey,England,Male,4,4,137,196,43,68.5,69.9,2,6,2,0,0,0,0
Alec Stewart,England,Male,170,162,4677,6841,116,31.6,68.37,14,469,26,13,28,4,0
Phil Newport,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Atherton,England,Male,54,54,1791,3054,127,35.12,58.65,3,155,1,4,12,2,0
Neil Williams,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnie Sidebottom,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Jarvis,England,Male,16,8,31,39,16,5.17,79.49,2,1,1,2,0,0,0
Graeme Hick,England,Male,120,118,3846,5191,126,37.34,74.09,15,278,41,10,27,5,0
Phil DeFreitas,England,Male,103,66,690,823,67,16.05,83.84,23,46,10,4,1,0,0
Richard Ellison,England,Male,14,12,86,110,24,10.75,78.19,4,3,1,0,0,0,0
Tim Robinson,England,Male,26,26,597,1026,83,22.96,58.19,0,63,0,2,3,0,0
Graham Thorpe,England,Male,82,77,2380,3344,89,37.19,71.18,13,172,5,3,21,0,0
Dermot Reeve,England,Male,29,21,291,389,35,24.25,74.81,9,19,0,0,0,0,0
Richard Illingworth,England,Male,25,11,68,119,14,11.33,57.15,5,4,0,0,0,0,0
Neil Fairbrother,England,Male,75,71,2092,2903,113,39.47,72.07,18,140,20,2,16,1,0
Richard Blakey,England,Male,3,2,25,50,25,12.5,50,0,3,0,1,0,0,0
Devon Malcolm,England,Male,10,5,9,11,4,3,81.82,2,1,0,1,0,0,0
Mark Ilott,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasser Hussain,England,Male,88,87,2332,3481,115,30.29,67,10,208,15,6,16,1,0
Tim Munton,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Wells,England,Male,1,1,15,10,15,15,150,0,2,0,0,0,0,0
Steve Watkin,England,Male,4,2,4,23,4,2,17.4,0,0,0,1,0,0,0
Hugh Morris,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neil Mallender,England,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
